Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	
SAMN33038896	WHP2324	WHP2324	Severe acute respiratory syndrome coronavirus 2	2697049	1401	
SAMN33038897	WHP2325	WHP2325	Severe acute respiratory syndrome coronavirus 2	2697049	1402	
SAMN33038898	WHP2326	WHP2326	Severe acute respiratory syndrome coronavirus 2	2697049	1403	
SAMN33038899	WHP2327	WHP2327	Severe acute respiratory syndrome coronavirus 2	2697049	1404	
SAMN33038900	WHP2328	WHP2328	Severe acute respiratory syndrome coronavirus 2	2697049	1405	
SAMN33038901	WHP2329	WHP2329	Severe acute respiratory syndrome coronavirus 2	2697049	1406	
SAMN33038902	WHP2330	WHP2330	Severe acute respiratory syndrome coronavirus 2	2697049	1407	
SAMN33038903	WHP2331	WHP2331	Severe acute respiratory syndrome coronavirus 2	2697049	1409	
SAMN33038904	WHP2332	WHP2332	Severe acute respiratory syndrome coronavirus 2	2697049	1410	
SAMN33038905	WHP2333	WHP2333	Severe acute respiratory syndrome coronavirus 2	2697049	1411	
SAMN33038906	WHP2335	WHP2335	Severe acute respiratory syndrome coronavirus 2	2697049	1412	
SAMN33038907	WHP2336	WHP2336	Severe acute respiratory syndrome coronavirus 2	2697049	1413	
SAMN33038908	WHP2337	WHP2337	Severe acute respiratory syndrome coronavirus 2	2697049	1414	
SAMN33038909	WHP2339	WHP2339	Severe acute respiratory syndrome coronavirus 2	2697049	1415	
SAMN33038910	WHP2340	WHP2340	Severe acute respiratory syndrome coronavirus 2	2697049	1416	
SAMN33038911	WHP2341	WHP2341	Severe acute respiratory syndrome coronavirus 2	2697049	1417	
SAMN33038912	WHP2342	WHP2342	Severe acute respiratory syndrome coronavirus 2	2697049	1418	
SAMN33038913	WHP2344	WHP2344	Severe acute respiratory syndrome coronavirus 2	2697049	1419	
SAMN33038914	WHP2346	WHP2346	Severe acute respiratory syndrome coronavirus 2	2697049	1420	
SAMN33038915	WHP2348	WHP2348	Severe acute respiratory syndrome coronavirus 2	2697049	761	
SAMN33038916	WHP2349	WHP2349	Severe acute respiratory syndrome coronavirus 2	2697049	1188	
SAMN33038917	WHP2351	WHP2351	Severe acute respiratory syndrome coronavirus 2	2697049	1262	
SAMN33038918	WHP2358	WHP2358	Severe acute respiratory syndrome coronavirus 2	2697049	1393	
SAMN33038919	WHP2368	WHP2368	Severe acute respiratory syndrome coronavirus 2	2697049	1421	
SAMN33038920	WHP2369	WHP2369	Severe acute respiratory syndrome coronavirus 2	2697049	1422	
SAMN33038921	WHP2371	WHP2371	Severe acute respiratory syndrome coronavirus 2	2697049	1423	
SAMN33038922	WHP2372	WHP2372	Severe acute respiratory syndrome coronavirus 2	2697049	1424	
SAMN33038923	WHP2373	WHP2373	Severe acute respiratory syndrome coronavirus 2	2697049	1425	
SAMN33038924	WHP2376	WHP2376	Severe acute respiratory syndrome coronavirus 2	2697049	1426	
SAMN33038925	WHP2377	WHP2377	Severe acute respiratory syndrome coronavirus 2	2697049	1427	
SAMN33038926	WHP2378	WHP2378	Severe acute respiratory syndrome coronavirus 2	2697049	1428	
SAMN33038927	WHP2380	WHP2380	Severe acute respiratory syndrome coronavirus 2	2697049	1429	
SAMN33038928	WHP2381	WHP2381	Severe acute respiratory syndrome coronavirus 2	2697049	1430	
SAMN33038929	WHP2382	WHP2382	Severe acute respiratory syndrome coronavirus 2	2697049	1431	
SAMN33038930	WHP2383	WHP2383	Severe acute respiratory syndrome coronavirus 2	2697049	1432	
SAMN33038931	WHP2385	WHP2385	Severe acute respiratory syndrome coronavirus 2	2697049	1433	
SAMN33038932	WHP2387	WHP2387	Severe acute respiratory syndrome coronavirus 2	2697049	1434	
SAMN33038933	WHP2388	WHP2388	Severe acute respiratory syndrome coronavirus 2	2697049	1435	
SAMN33038934	WHP2389	WHP2389	Severe acute respiratory syndrome coronavirus 2	2697049	1436	
SAMN33038935	WHP2390	WHP2390	Severe acute respiratory syndrome coronavirus 2	2697049	1437	
SAMN33038936	WHP2391	WHP2391	Severe acute respiratory syndrome coronavirus 2	2697049	1438	
SAMN33038937	WHP2392	WHP2392	Severe acute respiratory syndrome coronavirus 2	2697049	1439	
SAMN33038938	WHP2393	WHP2393	Severe acute respiratory syndrome coronavirus 2	2697049	1440	
SAMN33038939	WHP2394	WHP2394	Severe acute respiratory syndrome coronavirus 2	2697049	1441	
SAMN33038940	WHP2396	WHP2396	Severe acute respiratory syndrome coronavirus 2	2697049	1442	
SAMN33038941	WHP2397	WHP2397	Severe acute respiratory syndrome coronavirus 2	2697049	1443	
SAMN33038942	WHP2398	WHP2398	Severe acute respiratory syndrome coronavirus 2	2697049	1444	
SAMN33038943	WHP2399	WHP2399	Severe acute respiratory syndrome coronavirus 2	2697049	1445	
SAMN33038944	WHP2400	WHP2400	Severe acute respiratory syndrome coronavirus 2	2697049	1446	
SAMN33038945	WHP2401	WHP2401	Severe acute respiratory syndrome coronavirus 2	2697049	1447	
SAMN33038946	WHP2402	WHP2402	Severe acute respiratory syndrome coronavirus 2	2697049	1448	
SAMN33038947	WHP2403	WHP2403	Severe acute respiratory syndrome coronavirus 2	2697049	1449	
SAMN33038948	WHP2404	WHP2404	Severe acute respiratory syndrome coronavirus 2	2697049	1450	
SAMN33038949	WHP2405	WHP2405	Severe acute respiratory syndrome coronavirus 2	2697049	1451	
SAMN33038950	WHP2406	WHP2406	Severe acute respiratory syndrome coronavirus 2	2697049	1452	
SAMN33038951	WHP2407	WHP2407	Severe acute respiratory syndrome coronavirus 2	2697049	1453	
SAMN33038952	WHP2408	WHP2408	Severe acute respiratory syndrome coronavirus 2	2697049	1454	
SAMN33038953	WHP2409	WHP2409	Severe acute respiratory syndrome coronavirus 2	2697049	1456	
SAMN33038954	WHP2410	WHP2410	Severe acute respiratory syndrome coronavirus 2	2697049	1457	
SAMN33038955	WHP2411	WHP2411	Severe acute respiratory syndrome coronavirus 2	2697049	1458	
SAMN33038956	WHP2412	WHP2412	Severe acute respiratory syndrome coronavirus 2	2697049	1459	
SAMN33038957	WHP2413	WHP2413	Severe acute respiratory syndrome coronavirus 2	2697049	1460	
SAMN33038958	WHP2414	WHP2414	Severe acute respiratory syndrome coronavirus 2	2697049	1461	
SAMN33038959	WHP2416	WHP2416	Severe acute respiratory syndrome coronavirus 2	2697049	1462	
SAMN33038960	WHP2417	WHP2417	Severe acute respiratory syndrome coronavirus 2	2697049	1463	
SAMN33038961	WHP2420	WHP2420	Severe acute respiratory syndrome coronavirus 2	2697049	1464	
SAMN33038962	WHP2422	WHP2422	Severe acute respiratory syndrome coronavirus 2	2697049	1465	
SAMN33038963	WHP2423	WHP2423	Severe acute respiratory syndrome coronavirus 2	2697049	1466	
SAMN33038964	WHP2424	WHP2424	Severe acute respiratory syndrome coronavirus 2	2697049	1468	
SAMN33038965	WHP2426	WHP2426	Severe acute respiratory syndrome coronavirus 2	2697049	1470	
SAMN33038966	WHP2427	WHP2427	Severe acute respiratory syndrome coronavirus 2	2697049	1467	
SAMN33038967	WHP2428	WHP2428	Severe acute respiratory syndrome coronavirus 2	2697049	1471	
SAMN33038968	WHP2429	WHP2429	Severe acute respiratory syndrome coronavirus 2	2697049	1472	
SAMN33038969	WHP2431	WHP2431	Severe acute respiratory syndrome coronavirus 2	2697049	1473	
SAMN33038970	WHP2432	WHP2432	Severe acute respiratory syndrome coronavirus 2	2697049	1474	
SAMN33038971	WHP2433	WHP2433	Severe acute respiratory syndrome coronavirus 2	2697049	1475	
SAMN33038972	WHP2434	WHP2434	Severe acute respiratory syndrome coronavirus 2	2697049	1476	
SAMN33038973	WHP2435	WHP2435	Severe acute respiratory syndrome coronavirus 2	2697049	1477	
SAMN33038974	WHP2436	WHP2436	Severe acute respiratory syndrome coronavirus 2	2697049	1478	
SAMN33038975	WHP2437	WHP2437	Severe acute respiratory syndrome coronavirus 2	2697049	1479	
SAMN33038976	WHP2438	WHP2438	Severe acute respiratory syndrome coronavirus 2	2697049	1480	
SAMN33038977	WHP2440	WHP2440	Severe acute respiratory syndrome coronavirus 2	2697049	1481	
SAMN33038978	WHP2442	WHP2442	Severe acute respiratory syndrome coronavirus 2	2697049	1482	
SAMN33038979	WHP2443	WHP2443	Severe acute respiratory syndrome coronavirus 2	2697049	1483	
SAMN33038980	WHP2444	WHP2444	Severe acute respiratory syndrome coronavirus 2	2697049	1484	
SAMN33038981	WHP2445	WHP2445	Severe acute respiratory syndrome coronavirus 2	2697049	1485	
SAMN33038982	WHP2447	WHP2447	Severe acute respiratory syndrome coronavirus 2	2697049	1486	
SAMN33038983	WHP2448	WHP2448	Severe acute respiratory syndrome coronavirus 2	2697049	1487	
SAMN33038984	WHP2449	WHP2449	Severe acute respiratory syndrome coronavirus 2	2697049	1488	
SAMN33038985	WHP2450	WHP2450	Severe acute respiratory syndrome coronavirus 2	2697049	1489	
SAMN33038986	WHP2451	WHP2451	Severe acute respiratory syndrome coronavirus 2	2697049	1490	
SAMN33038987	WHP2452	WHP2452	Severe acute respiratory syndrome coronavirus 2	2697049	1491	
SAMN33038988	WHP2453	WHP2453	Severe acute respiratory syndrome coronavirus 2	2697049	1492	
SAMN33038989	WHP2454	WHP2454	Severe acute respiratory syndrome coronavirus 2	2697049	1493	
SAMN33038990	WHP2455	WHP2455	Severe acute respiratory syndrome coronavirus 2	2697049	1494	
SAMN33038991	WHP2456	WHP2456	Severe acute respiratory syndrome coronavirus 2	2697049	1495	
SAMN33038992	WHP2457	WHP2457	Severe acute respiratory syndrome coronavirus 2	2697049	1496	
SAMN33038993	WHP2458	WHP2458	Severe acute respiratory syndrome coronavirus 2	2697049	1497	
SAMN33038994	WHP2459	WHP2459	Severe acute respiratory syndrome coronavirus 2	2697049	1498	
SAMN33038995	WHP2460	WHP2460	Severe acute respiratory syndrome coronavirus 2	2697049	1499	
SAMN33038996	WHP2461	WHP2461	Severe acute respiratory syndrome coronavirus 2	2697049	1500	
SAMN33038997	WHP2462	WHP2462	Severe acute respiratory syndrome coronavirus 2	2697049	1501	
SAMN33038998	WHP2463	WHP2463	Severe acute respiratory syndrome coronavirus 2	2697049	1502	
SAMN33038999	WHP2464	WHP2464	Severe acute respiratory syndrome coronavirus 2	2697049	1503	
SAMN33039000	WHP2465	WHP2465	Severe acute respiratory syndrome coronavirus 2	2697049	1504	
SAMN33039001	WHP2466	WHP2466	Severe acute respiratory syndrome coronavirus 2	2697049	1505	
SAMN33039002	WHP2467	WHP2467	Severe acute respiratory syndrome coronavirus 2	2697049	1506	
SAMN33039003	WHP2468	WHP2468	Severe acute respiratory syndrome coronavirus 2	2697049	1507	
SAMN33039004	WHP2469	WHP2469	Severe acute respiratory syndrome coronavirus 2	2697049	1508	
SAMN33039005	WHP2471	WHP2471	Severe acute respiratory syndrome coronavirus 2	2697049	1509	
SAMN33039006	WHP2472	WHP2472	Severe acute respiratory syndrome coronavirus 2	2697049	1510	
SAMN33039007	WHP2473	WHP2473	Severe acute respiratory syndrome coronavirus 2	2697049	1511	
SAMN33039008	WHP2477	WHP2477	Severe acute respiratory syndrome coronavirus 2	2697049	1512	
SAMN33039009	WHP2480	WHP2480	Severe acute respiratory syndrome coronavirus 2	2697049	1513	
SAMN33039010	WHP2481	WHP2481	Severe acute respiratory syndrome coronavirus 2	2697049	1514	
SAMN33039011	WHP2484	WHP2484	Severe acute respiratory syndrome coronavirus 2	2697049	1515	
SAMN33039012	WHP2485	WHP2485	Severe acute respiratory syndrome coronavirus 2	2697049	1516	
SAMN33039013	WHP2487	WHP2487	Severe acute respiratory syndrome coronavirus 2	2697049	1517	
SAMN33039014	WHP2491	WHP2491	Severe acute respiratory syndrome coronavirus 2	2697049	1518	
SAMN33039015	WHP2493	WHP2493	Severe acute respiratory syndrome coronavirus 2	2697049	1519	
SAMN33039016	WHP2494	WHP2494	Severe acute respiratory syndrome coronavirus 2	2697049	1520	
SAMN33039017	WHP2496	WHP2496	Severe acute respiratory syndrome coronavirus 2	2697049	1521	
SAMN33039018	WHP2498	WHP2498	Severe acute respiratory syndrome coronavirus 2	2697049	1522	
SAMN33039019	WHP2503	WHP2503	Severe acute respiratory syndrome coronavirus 2	2697049	1523	
SAMN33039020	WHP2508	WHP2508	Severe acute respiratory syndrome coronavirus 2	2697049	1524	
SAMN33039021	WHP2509	WHP2509	Severe acute respiratory syndrome coronavirus 2	2697049	1525	
SAMN33039022	WHP2510	WHP2510	Severe acute respiratory syndrome coronavirus 2	2697049	1469	
SAMN33039023	WHP2513	WHP2513	Severe acute respiratory syndrome coronavirus 2	2697049	1526	
SAMN33039024	WHP2514	WHP2514	Severe acute respiratory syndrome coronavirus 2	2697049	1527	
SAMN33039025	WHP2524	WHP2524	Severe acute respiratory syndrome coronavirus 2	2697049	1531	
SAMN33039026	WHP2525	WHP2525	Severe acute respiratory syndrome coronavirus 2	2697049	1532	
SAMN33039027	WHP2526	WHP2526	Severe acute respiratory syndrome coronavirus 2	2697049	1533	
SAMN33039028	WHP2529	WHP2529	Severe acute respiratory syndrome coronavirus 2	2697049	1528	
SAMN33039029	WHP2534	WHP2534	Severe acute respiratory syndrome coronavirus 2	2697049	1529	
SAMN33039030	WHP2537	WHP2537	Severe acute respiratory syndrome coronavirus 2	2697049	1530	
SAMN33039031	WHP2538	WHP2538	Severe acute respiratory syndrome coronavirus 2	2697049	1536	
SAMN33039032	WHP2541	WHP2541	Severe acute respiratory syndrome coronavirus 2	2697049	1534	
SAMN33039033	WHP2544	WHP2544	Severe acute respiratory syndrome coronavirus 2	2697049	1535	
SAMN33039034	WHP2568	WHP2568	Severe acute respiratory syndrome coronavirus 2	2697049	1537	
SAMN33039035	WHP2569	WHP2569	Severe acute respiratory syndrome coronavirus 2	2697049	1538	
SAMN33039036	WHP2580	WHP2580	Severe acute respiratory syndrome coronavirus 2	2697049	1539	
SAMN33039037	WHP2584	WHP2584	Severe acute respiratory syndrome coronavirus 2	2697049	1540	
SAMN33039038	WHP2589	WHP2589	Severe acute respiratory syndrome coronavirus 2	2697049	1542	
SAMN33039039	WHP2591	WHP2591	Severe acute respiratory syndrome coronavirus 2	2697049	1543	
SAMN33039040	WHP2598	WHP2598	Severe acute respiratory syndrome coronavirus 2	2697049	1544	
SAMN33039041	WHP2601	WHP2601	Severe acute respiratory syndrome coronavirus 2	2697049	1545	
SAMN33039042	WHP2602	WHP2602	Severe acute respiratory syndrome coronavirus 2	2697049	1546	
SAMN33039043	WHP2604	WHP2604	Severe acute respiratory syndrome coronavirus 2	2697049	1547	
